Month,Weibull k,Weibull c (m/s),Energy (MWh),Capacity Factor
Jan,1.97,9.66,3519.07,34.4%
Feb,2.46,11.31,4788.98,46.9%
Mar,2.04,8.81,2885.3,28.2%
Apr,1.77,10.63,4052.63,39.7%
May,2.35,9.66,3484.65,34.1%
Jun,1.93,9.24,3231.22,31.6%
Jul,3.63,13.79,7164.48,70.1%
Aug,3.11,12.42,5907.57,57.8%
Sep,5.03,13.33,7540.52,73.8%
Oct,2.36,12.01,5203.31,50.9%
Nov,2.08,9.28,3233.25,31.6%
Dec,2.67,10.82,4465.06,43.7%
